product_id,product_name,category,unit_cost,unit_price
PROD0203,Quality-focused 4thgeneration capability,Apparel,50.05,150.75
PROD0204,Polarized scalable success,Beauty,60.21,85.47
PROD0205,Up-sized actuating product,Accessories,136.09,212.89
PROD0206,Team-oriented heuristic instruction set,Accessories,49.94,155.32
PROD0207,Re-contextualized value-added frame,Electronics,142.74,347.17
PROD0208,Right-sized uniform superstructure,Accessories,95.88,211.63
PROD0209,Automated even-keeled Graphic Interface,Sporting Goods,46.1,91.81
PROD0210,Organic needs-based throughput,Beauty,101.86,280.55
PROD0211,Reactive even-keeled matrix,Home Goods,119.36,336.75
PROD0212,Decentralized empowering product,,16.41,37.58
PROD0213,Expanded heuristic archive,Home Goods,11.46,27.38
PROD0214,Enhanced 24/7 analyzer,Accessories,67.9,203.56
PROD0215,Grass-roots transitional hardware,Accessories,54.58,87.91
PROD0216,Universal bottom-line functionalities,Footwear,24.02,66.55
PROD0217,Profound context-sensitive synergy,Footwear,93.88,148.52
PROD0218,Reactive fault-tolerant definition,Electronics,15.36,40.88
PROD0219,Object-based full-range Internet solution,Home Goods,13.7,39.45
PROD0220,Profit-focused uniform hub,Apparel,106.82,165.19
PROD0221,Up-sized neutral task-force,,15.47,49.13
PROD0222,Networked regional matrices,Apparel,58.02,119.94
PROD0223,Self-enabling eco-centric firmware,Beauty,122.48,380.31
PROD0224,Vision-oriented discrete algorithm,Electronics,147.94,407.73
PROD0225,Distributed local migration,,58.31,90.4
PROD0226,Seamless bandwidth-monitored archive,Home Goods,117.24,281.98
PROD0227,Persevering uniform function,Sporting Goods,65.36,198.13
PROD0228,Managed intermediate benchmark,Apparel,19.35,44.25
PROD0229,Self-enabling multi-state groupware,Footwear,4.67,10.48
PROD0230,Cloned composite adapter,Beauty,11.28,18.2
PROD0231,Multi-layered empowering alliance,,20.28,52.09
PROD0232,Future-proofed multimedia customer loyalty,Footwear,112.67,276.05
PROD0233,Vision-oriented fault-tolerant hardware,Footwear,144.44,299.68
PROD0234,Sharable uniform Local Area Network,Beauty,45.0,133.36
PROD0235,Optimized web-enabled monitoring,Apparel,35.87,112.41
PROD0236,De-engineered global function,Footwear,4.79,15.07
PROD0237,Cloned directional throughput,Apparel,9.34,28.06
PROD0238,Triple-buffered composite archive,Footwear,80.57,256.8
PROD0239,Horizontal systemic interface,Sporting Goods,13.85,33.2
PROD0240,Automated mission-critical leverage,Accessories,145.49,340.68
PROD0241,Realigned asynchronous open architecture,Sporting Goods,95.52,253.35
PROD0242,Upgradable executive database,Apparel,69.82,176.62
PROD0243,Robust system-worthy definition,Apparel,88.89,268.63
PROD0244,Seamless holistic project,Apparel,9.68,18.45
PROD0245,Organic upward-trending neural-net,Accessories,142.71,428.48
PROD0246,Fundamental leadingedge installation,Sporting Goods,69.98,176.09
PROD0247,Monitored 24hour Graphical User Interface,Beauty,43.78,76.12
PROD0248,Innovative modular implementation,Home Goods,71.16,144.88
PROD0249,Proactive empowering website,Electronics,88.8,136.75
PROD0250,Future-proofed solution-oriented Graphical User Interface,,146.24,464.34
